year,x,sex,dx,ex,lx,mx,qx
1981,83,female,3428.4,6.05,34103.3,0.105852,0.100531
1981,83,male,2498.7,4.69,15844.1,0.171208,0.157708
1981,84,female,3262.8,5.67,30674.8,0.112342,0.106367
1981,84,male,2220.9,4.48,13345.4,0.181517,0.166414
1981,85,female,3153,5.29,27412,0.12204,0.115021
1981,85,male,1958.4,4.27,11124.5,0.193039,0.176047
1981,86,female,3425.5,4.91,24259.1,0.151931,0.141205
1981,86,male,1653.9,4.08,9166.1,0.198335,0.180441
1981,87,female,3238.4,4.64,20833.6,0.168542,0.155442
1981,87,male,1483,3.86,7512.1,0.219036,0.197415
1981,88,female,2997,4.4,17595.2,0.186186,0.17033
1981,88,male,1226.2,3.69,6029.1,0.2264,0.203378
1981,89,female,2617.7,4.2,14598.2,0.196974,0.179314
1981,89,male,1016,3.5,4802.9,0.23657,0.211547
1981,90,female,2176.2,4.01,11980.5,0.199795,0.181649
1981,90,male,797.5,3.31,3786.9,0.235366,0.210584
1981,91,female,1863.5,3.79,9804.3,0.210027,0.190067
1981,91,male,765.3,3.06,2989.4,0.293578,0.256
1981,92,female,1598.3,3.56,7940.8,0.223796,0.201274
1981,92,male,586.1,2.94,2224.1,0.303529,0.263534
1981,93,female,1419.5,3.33,6342.5,0.252,0.223801
1981,93,male,347.7,2.81,1638,0.2375,0.212291
1981,94,female,1055.1,3.15,4923.1,0.240046,0.214322
1981,94,male,315.1,2.44,1290.3,0.278226,0.244248
1981,95,female,1097.7,2.87,3867.9,0.330733,0.283802
1981,95,male,399.9,2.06,975.1,0.515873,0.410095
1981,96,female,824.7,2.81,2770.2,0.349754,0.297694
1981,96,male,173.1,2.15,575.2,0.354167,0.300885
1981,97,female,517.3,2.79,1945.5,0.306667,0.265896
1981,97,male,171.9,1.86,402.2,0.543478,0.42735
1981,98,female,380.4,2.62,1428.2,0.307263,0.266344
1981,98,male,81.3,1.87,230.3,0.428571,0.352941
1981,99,female,293.8,2.38,1047.8,0.326087,0.280374
1981,99,male,62.4,1.62,149,0.529412,0.418605
1981,100,female,234.6,2.12,754,0.368421,0.311111
1981,100,male,57.8,1.43,86.6,1,0.666667
1982,0,female,979.3,75.26,100000,0.009842,0.009793
1982,0,male,1284,69.24,100000,0.012923,0.01284
1982,1,female,56.9,75.01,99020.7,5.75e-4,5.75e-4
1982,1,male,109.9,69.13,98716,0.001114,0.001113
1982,2,female,42.7,74.05,98963.8,4.32e-4,4.32e-4
1982,2,male,52.2,68.21,98606.1,5.3e-4,5.3e-4
1982,3,female,32,73.08,98921,3.24e-4,3.24e-4
1982,3,male,44.9,67.25,98553.8,4.55e-4,4.55e-4
1982,4,female,23.8,72.1,98889,2.41e-4,2.4e-4
1982,4,male,16.2,66.28,98508.9,1.65e-4,1.65e-4
1982,5,female,34.6,71.12,98865.2,3.5e-4,3.5e-4
1982,5,male,32.5,65.29,98492.7,3.3e-4,3.29e-4
1982,6,female,22.2,70.15,98830.6,2.25e-4,2.25e-4
1982,6,male,35.7,64.31,98460.3,3.62e-4,3.62e-4
1982,7,female,18.5,69.16,98808.4,1.87e-4,1.87e-4
1982,7,male,20.6,63.33,98424.6,2.1e-4,2.1e-4
1982,8,female,18.2,68.18,98789.9,1.84e-4,1.84e-4
1982,8,male,34.4,62.35,98404,3.49e-4,3.49e-4
1982,9,female,16.9,67.19,98771.8,1.71e-4,1.71e-4
1982,9,male,31.9,61.37,98369.6,3.24e-4,3.24e-4
1982,10,female,25.9,66.2,98754.9,2.62e-4,2.62e-4
1982,10,male,29.8,60.39,98337.7,3.04e-4,3.03e-4
1982,11,female,9.8,65.22,98729,9.9e-5,9.9e-5
1982,11,male,32.6,59.41,98307.9,3.32e-4,3.32e-4
1982,12,female,29.1,64.22,98719.2,2.95e-4,2.95e-4
1982,12,male,25.5,58.43,98275.3,2.59e-4,2.59e-4
1982,13,female,21.1,63.24,98690.1,2.14e-4,2.14e-4
1982,13,male,26.6,57.44,98249.8,2.71e-4,2.71e-4
1982,14,female,22.7,62.26,98669,2.3e-4,2.3e-4
1982,14,male,43.3,56.46,98223.2,4.41e-4,4.41e-4
1982,15,female,22.5,61.27,98646.3,2.28e-4,2.28e-4
1982,15,male,71.6,55.48,98180,7.3e-4,7.29e-4
1982,16,female,22.5,60.28,98623.8,2.28e-4,2.28e-4
1982,16,male,60.1,54.52,98108.4,6.12e-4,6.12e-4
1982,17,female,44.9,59.3,98601.2,4.55e-4,4.55e-4
1982,17,male,91.5,53.55,98048.3,9.34e-4,9.33e-4
1982,18,female,43.1,58.32,98556.4,4.38e-4,4.38e-4
1982,18,male,116.6,52.6,97956.8,0.001191,0.001191
1982,19,female,37.5,57.35,98513.2,3.81e-4,3.81e-4
1982,19,male,121.3,51.67,97840.2,0.00124,0.00124
