country,year,sex,e0,label,include,ch_e0
FIN,1995,female,80.21,Finland,1,0.05999999999998806
FRATNP,1995,female,81.9,France,1,0.010000000000005116
GRC,1995,female,80.43,Greece,1,0.10000000000000853
HUN,1995,female,74.72,Hungary,1,0.2600000000000051
IRL,1995,female,78.31,Ireland,1,-0.3499999999999943
ISL,1995,female,80.07,Iceland,1,-1.2000000000000028
ISR,1995,female,79.54,Israel,1,0.030000000000001137
ITA,1995,female,81.33,Italy,1,0.2600000000000051
JPN,1995,female,82.78,Japan,1,-0.12000000000000455
LTU,1995,female,74.96,Lithuania,1,0.19999999999998863
LUX,1995,female,79.92,Luxembourg,1,0.46999999999999886
LVA,1995,female,72.66,Latvia,1,0.4099999999999966
NLD,1995,female,80.36,Netherlands,1,0.060000000000002274
NOR,1995,female,80.81,Norway,1,0.1599999999999966
NZL_NP,1995,female,79.47,New Zealand,1,-0.18000000000000682
POL,1995,female,76.39,Poland,1,0.3100000000000023
PRT,1995,female,79.22,Portugal,1,-0.030000000000001137
RUS,1995,female,71.6,Russia,1,0.539999999999992
SVK,1995,female,76.29,Slovakia,1,-0.1799999999999926
SVN,1995,female,78.32,Slovenia,1,0.6199999999999903
SWE,1995,female,81.44,Sweden,1,0.060000000000002274
TWN,1995,female,77.64,Taiwan,1,-0.21999999999999886
UKR,1995,female,72.5,Ukraine,1,-0.45000000000000284
GBR_NP,1995,female,79.19,United Kingdom,1,-0.12000000000000455
USA,1995,female,79.09,USA,1,0.030000000000001137
AUS,1995,male,75.39,Australia,1,0.46999999999999886
AUT,1995,male,73.29,Austria,1,0.1700000000000017
BEL,1995,male,73.44,Belgium,1,0.09000000000000341
BGR,1995,male,67.36,Bulgaria,1,0.12999999999999545
BLR,1995,male,62.8,Belarus,1,-0.6200000000000045
CAN,1995,male,75.01,Canada,1,0.14000000000000057
CHE,1995,male,75.29,Switzerland,1,0.15000000000000568
CZE,1995,male,69.66,Czechia,1,0.1700000000000017
DEUTNP,1995,male,73.12,Germany,1,0.1700000000000017
DNK,1995,male,72.73,Denmark,1,-0.04999999999999716
ESP,1995,male,74.56,Spain,1,0.060000000000002274
